locatie,detalii,pret
"Iasi, IS, Nicolina",3 camere  •  59 m²  •  etajul 3/4  •  1981  •  decomandat,78.500 eur
"Sibiu, SB, Mihai Viteazul",2 camere  •  46 m²  •  etajul 8  •  1975  •  semidecomandat,65.000 eur
"Bucuresti, IF, Brancoveanu",2 camere  •  50 m²  •  etajul 4/4  •  1974  •  decomandat,91.000 eur
"Brasov, BV, Florilor",3 camere  •  50 m²  •  etajul 4  •  1980  •  semidecomandat,62.500 eur
"Galati, GL, I.C.Frimu",4 camere  •  90 m²  •  etajul 4/4  •  1988  •  decomandat,91.000 eur
"Iasi, IS, Alexandru cel Bun",2 camere  •  44 m²  •  etajul 9/20  •  1977  •  decomandat,56.000 eur
"Brasov, BV, Brasovul Vechi",2 camere  •  48 m²  •  etajul 1  •  1980  •  decomandat,67.500 eur
"Bucuresti, IF, Unirii",3 camere  •  138 m²  •  etajul 4  •  1990  •  decomandat,500.000 eur
"Cluj-Napoca, CJ, Manastur",1 cameră  •  40 m²  •  etajul 1/8  •  2015  •  decomandat,95.000 eur
"Bucuresti, IF, Aviatiei",3 camere  •  73 m²  •  etajul 2/4  •  1984  •  decomandat,145.000 eur
"Oradea, BH, Episcopia Bihorului",3 camere  •  78 m²  •  etajul 1  •  1980  •  decomandat,65.000 eur
"Bucuresti, IF, Brancoveanu",3 camere  •  62 m²  •  etajul 7/8  •  1987  •  semidecomandat,119.000 eur
"Bragadiru, IF, Haliu",1 cameră  •  39 m²  •  etajul 1/3  •  2021  •  decomandat,42.000 eur
"Brasov, BV, Tractorul",3 camere  •  75 m²  •  etajul 1  •  1980  •  decomandat,92.000 eur
"Constanta, CT, Tomis Nord",3 camere  •  50 m²  •  etajul 3/4  •  1989  •  semidecomandat,80.000 eur
"Brasov, BV, Tractorul",3 camere  •  70 m²  •  etajul 8  •  1980  •  decomandat,97.000 eur
"Timisoara, TM, Girocului",3 camere  •  70 m²  •  etajul 3/4  •  1990  •  decomandat,85.000 eur
"Focsani, VN, Brailei",3 camere  •  70 m²  •  etajul 1/4  •  1980  •  decomandat,65.000 eur
"Bucuresti, IF, P-ta Romana",3 camere  •  80 m²  •  etajul 8/10  •  1984  •  decomandat,269.000 eur
"Timisoara, TM, Braytim",2 camere  •  54 m²  •  etajul 3/3  •  2021  •  decomandat,62.500 eur
"Tulcea, TL, C5",3 camere  •  67 m²  •  etajul 1/4  •  1985  •  decomandat,90.000 eur
"Bucuresti, IF, Metalurgiei",3 camere  •  87 m²  •  etajul 2/5  •  2017  •  decomandat,150.000 eur
"Sibiu, SB, Turnisor",3 camere  •  67 m²  •  etajul 3/4  •  2020  •  semidecomandat,110.000 eur
"Sibiu, SB, Tineretului",2 camere  •  52 m²  •  etajul 4/4  •  2019  •  decomandat,100.000 eur
"Bucuresti, IF, Unirii",3 camere  •  80 m²  •  etajul 4/8  •  1992  •  decomandat,184.999 eur
"Bucuresti, IF, Alexandru Obregia",3 camere  •  62 m²  •  etajul 1/10  •  1975  •  semidecomandat,87.000 eur
"Bucuresti, IF, Mosilor",2 camere  •  49 m²  •  etajul 3  •  1980  •  decomandat,125.000 eur
"Popesti Leordeni, IF, Central",2 camere  •  57 m²  •  etajul 4/6  •  2021  •  decomandat,73.980 eur
"Otopeni, IF, Sud",4 camere  •  110 m²  •  etajul 4/4  •  2021  •  decomandat,257.500 eur
"Bucuresti, IF, Vacaresti",4 camere  •  87 m²  •  etajul 8/10  •  2021  •  decomandat,202.000 eur
"Constanta, CT, Casa de Cultura",2 camere  •  40 m²  •  etajul 4/4  •  1990  •  semidecomandat,57.000 eur
"Iasi, IS, Frumoasa",3 camere  •  70 m²  •  etajul 4  •  1984  •  decomandat,70.000 eur
"Floresti, CJ, Central",4 camere  •  80 m²  •  etajul 1/2  •  2020  •  semidecomandat,129.000 eur
"Cluj-Napoca, CJ, Manastur",3 camere  •  51 m²  •  etajul 3/4  •  1982  •  semidecomandat,97.500 eur
"Bucuresti, IF, Drumul Sarii",3 camere  •  74 m²  •  etajul 1/8  •  1987  •  decomandat,118.990 eur
"Bucuresti, IF, Gorjului",3 camere  •  64 m²  •  etajul 1/10  •  1978  •  decomandat,97.000 eur
"Iasi, IS, Miroslava",3 camere  •  91 m²  •  etajul 3/3  •  2018  •  decomandat,91.000 eur
"Bucuresti, IF, Aviatiei",3 camere  •  82 m²  •  etajul 1/4  •  1987  •  semidecomandat,175.000 eur
"Bucuresti, IF, Drumul Taberei",2 camere  •  64 m²  •  etajul 2/7  •  2020  •  decomandat,89.000 eur
"Bucuresti, IF, Domenii",3 camere  •  80 m²  •  etajul 2/4  •  2014  •  decomandat,260.000 eur
"Bucuresti, IF, Brancoveanu",3 camere  •  65 m²  •  etajul 9/10  •  1983  •  semidecomandat,120.000 eur
"Bucuresti, IF, Vitan Mall",2 camere  •  39 m²  •  etajul 4/6  •  2016  •  semidecomandat,78.000 eur
"Arad, AR, Ultracentral",2 camere  •  95 m²  •  etajul 3/3  •  1970  •  decomandat,70.900 eur
"Sibiu, SB, Central",2 camere  •  57 m²  •  etajul 2/4  •  2018  •  semidecomandat,74.900 eur
"Sibiu, SB, Valea Aurie",3 camere  •  60 m²  •  etajul 3/4  •  1980  •  decomandat,85.000 eur
"Arad, AR, Subcetate",2 camere  •  78 m²  •  etajul 2  •  2010  •  semidecomandat,75.000 eur
"Pitesti, AG, Negru Voda",3 camere  •  64 m²  •  etajul 2  •  1972  •  decomandat,67.000 eur
"Brasov, BV, Astra",2 camere  •  52 m²  •  etajul 3  •  1980  •  decomandat,79.800 eur
"Bucuresti, IF, Pipera",3 camere  •  130 m²  •  etajul 1/5  •  2013  •  decomandat,205.000 eur
"Iasi, IS, Zona industriala",2 camere  •  53 m²  •  etajul 1  •  2021  •  decomandat,55.900 eur
"Chiajna, IF, Central",3 camere  •  72 m²  •  etajul 7/8  •  2019  •  decomandat,75.600 eur
"Bucuresti, IF, Pantelimon",2 camere  •  50 m²  •  etajul 7/10  •  1975  •  semidecomandat,69.000 eur
"Ploiesti, PH, Nord - Spitalul Judetean",2 camere  •  52 m²  •  etajul 3/4  •  1970  •  semidecomandat,45.900 eur
"Bucuresti, IF, Militari",2 camere  •  64 m²  •  etajul 6/8  •  2021  •  decomandat,91.428 eur
"Bucuresti, IF, Baneasa",2 camere  •  54 m²  •  etajul 2/5  •  2018  •  decomandat,127.000 eur
"Bucuresti, IF, Crangasi",3 camere  •  65 m²  •  etajul 3  •  1983  •  decomandat,100.000 eur
"Bucuresti, IF, Floreasca",2 camere  •  96 m²  •  etajul 2/4  •  2018  •  decomandat,219.000 eur
"Brasov, BV, Tractorul",3 camere  •  78 m²  •  etajul 1  •  1980  •  decomandat,115.000 eur
"Brasov, BV, Racadau",2 camere  •  55 m²  •  etajul 4  •  1985  •  decomandat,85.500 eur
"Pitesti, AG, Gavana 3",4 camere  •  77 m²  •  etajul 3/4  •  1981  •  decomandat,82.500 eur
"Sibiu, SB, Stefan cel Mare",3 camere  •  55 m²  •  etajul 3/4  •  1980  •  semidecomandat,90.000 eur
"Brasov, BV, Aurel Vlaicu",2 camere  •  50 m²  •  etajul 5  •  1980  •  decomandat,83.000 eur
"Bucuresti, IF, Drumul Taberei",2 camere  •  42 m²  •  etajul 3/3  •  2020  •  semidecomandat,46.500 eur
"Bucuresti, IF, Floreasca",3 camere  •  115 m²  •  etajul 5/8  •  2018  •  decomandat,336.000 eur
"Bucuresti, IF, Sisesti",2 camere  •  87 m²  •  etajul 2/8  •  2020  •  decomandat,133.500 eur
"Arad, AR, UTA",2 camere  •  44 m²  •  etajul 3/5  •  2021  •  semidecomandat,64.900 eur
"Brasov, BV, Astra",2 camere  •  44 m²  •  etajul 4  •  1980  •  nedecomandat,61.000 eur
"Bragadiru, IF, Haliu",2 camere  •  67 m²  •  etajul 2/3  •  2021  •  decomandat,65.000 eur
"Targu Jiu, GJ, Victoria",2 camere  •  45 m²  •  etajul 4  •  1984  •  decomandat,57.000 eur
"Floresti, CJ, Central",1 cameră  •  67 m²  •  etajul 1/5  •  2011  •  semidecomandat,80.100 eur
"Timisoara, TM, Complex Studentesc",2 camere  •  44 m²  •  etajul 4/4  •  1982  •  nedecomandat,64.000 eur
"Galati, GL, Tiglina 2",2 camere  •  50 m²  •  etajul 4  •  1977  •  semidecomandat,46.000 eur
"Popesti Leordeni, IF, Central",2 camere  •  57 m²  •  etajul 4/6  •  2021  •  decomandat,78.000 eur
"Magurele, IF, Periferie",2 camere  •  53 m²  •  etajul 2/2  •  2021  •  semidecomandat,58.000 eur
"Constanta, CT, Tomis Nord",2 camere  •  45 m²  •  etajul 4/4  •  1980  •  nedecomandat,59.000 eur
"Ploiesti, PH, Republicii",2 camere  •  58 m²  •  etajul 9/10  •  1981  •  decomandat,65.000 eur
"Bucuresti, IF, Polona",3 camere  •  70 m²  •  etajul 6/8  •  1980  •  semidecomandat,129.000 eur
"Iasi, IS, Frumoasa",4 camere  •  80 m²  •  etajul 1  •  1985  •  semidecomandat,103.000 eur
"Cluj-Napoca, CJ, Andrei Muresanu",3 camere  •  67 m²  •  etajul 3/4  •  1980  •  decomandat,180.000 eur
"Bucuresti, IF, Barbu Vacarescu",2 camere  •  44 m²  •  etajul 3/11  •  2021  •  semidecomandat,95.000 eur
"Deva, HD, Ultracentral",2 camere  •  57 m²  •  etajul 2  •  1980  •  decomandat,81.000 eur
"Constanta, CT, Tomis Plus",3 camere  •  91 m²  •  etajul 3/5  •  2017  •  decomandat,140.000 eur
"Iasi, IS, Pacurari",1 cameră  •  42 m²  •  etajul 7  •  1990  •  decomandat,51.000 eur
"Galati, GL, Mazepa 1",2 camere  •  50 m²  •  etajul 7/8  •  1980  •  decomandat,65.000 eur
"Bucuresti, IF, Drumul Taberei",4 camere  •  63 m²  •  etajul 7/10  •  1972  •  semidecomandat,61.900 eur
"Campina, PH, Ultracentral",2 camere  •  56 m²  •  etajul 8/10  •  1977  •  semidecomandat,39.900 eur
"Sanandrei, TM, Central",2 camere  •  50 m²  •  etajul 2/2  •  2020  •  decomandat,56.000 eur
"Constanta, CT, Tomis Nord",2 camere  •  45 m²  •  etajul 3  •  1977  •  circular,74.900 eur
"Timisoara, TM, Braytim",2 camere  •  51 m²  •  etajul 1/2  •  2021  •  decomandat,76.500 eur
"Brasov, BV, Gemenii",2 camere  •  52 m²  •  etajul 1  •  1980  •  semidecomandat,71.000 eur
"Turnu Magurele, TR, Periferie",3 camere  •  39 m²  •  etajul 3/4  •  1972  •  semidecomandat,9.000 eur
"Bucuresti, IF, Rahova",3 camere  •  76 m²  •  etajul 9/12+  •  2020  •  decomandat,99.200 eur
"Iasi, IS, Alexandru cel Bun",2 camere  •  47 m²  •  etajul 5  •  2000  •  nedecomandat,49.000 eur
"Ramnicu Valcea, VL, Ostroveni",2 camere  •  50 m²  •  etajul 3/4  •  1984  •  decomandat,49.900 eur
"Chiajna, IF, Nord-Vest",3 camere  •  72 m²  •  etajul 5/7  •  2020  •  decomandat,75.600 eur
"Constanta, CT, Tomis I",2 camere  •  47 m²  •  etajul 2/4  •  1970  •  semidecomandat,69.000 eur
"Floresti, CJ, Central",2 camere  •  39 m²  •  etajul 2/3  •  2021  •  semidecomandat,53.000 eur
"Brasov, BV, Astra",1 cameră  •  34 m²  •  etajul 3  •  1980  •  semidecomandat,46.000 eur
"Giroc, TM, Central",2 camere  •  53 m²  •  etajul 2/2  •  2021  •  decomandat,77.500 eur
"Bucuresti, IF, P-ta Unirii",2 camere  •  80 m²  •  etajul 1/8  •  1994  •  decomandat,155.000 eur
"Chiajna, IF, Central",2 camere  •  55 m²  •  etajul 4  •  2020  •  decomandat,58.275 eur
"Bucuresti, IF, Herastrau",2 camere  •  54 m²  •  etajul 5/6  •  2008  •  semidecomandat,185.000 eur
"Bucuresti, IF, Militari",1 cameră  •  33 m²  •  etajul 4/9  •  1977  •  decomandat,49.500 eur
"Bucuresti, IF, Vitan",2 camere  •  39 m²  •  etajul 4/6  •  2016  •  decomandat,77.000 eur
"Constanta, CT, Tomis Nord",3 camere  •  62 m²  •  etajul 6/6  •  1972  •  decomandat,94.900 eur
"Brasov, BV, Tractorul",4 camere  •  78 m²  •  etajul 3  •  1980  •  decomandat,92.000 eur
"Bucuresti, IF, Mihai Bravu",2 camere  •  42 m²  •  etajul 1/10  •  2016  •  decomandat,108.000 eur
"Constanta, CT, City Park Mall",2 camere  •  45 m²  •  etajul 1/4  •  1981  •  decomandat,85.000 eur
"Brasov, BV, Florilor",2 camere  •  42 m²  •  etajul 4  •  1980  •  semidecomandat,59.500 eur
"Alba Iulia, AB, Cetate",3 camere  •  63 m²  •  etajul 2  •  1980  •  semidecomandat,68.000 eur
"Bucuresti, IF, Titan",3 camere  •  62 m²  •  etajul 1/4  •  1970  •  semidecomandat,90.000 eur
"Iasi, IS, Tatarasi",2 camere  •  38 m²  •  etajul 1  •  2016  •  semidecomandat,60.000 eur
"Iasi, IS, Bucium",3 camere  •  67 m²  •  etajul 2  •  2021  •  semidecomandat,71.000 eur
"Piatra Neamt, NT, Darmanesti",3 camere  •  73 m²  •  etajul 3/6  •  2021  •  decomandat,69.573 eur
"Cernica, IF, Central",2 camere  •  62 m²  •  etajul 1  •  2020  •  semidecomandat,55.575 eur
"Bucuresti, IF, Pajura",2 camere  •  59 m²  •  etajul 3/6  •  2008  •  semidecomandat,129.990 eur
"Bucuresti, IF, Uverturii",2 camere  •  41 m²  •  etajul 4/4  •  2020  •  decomandat,91.990 eur
"Iasi, IS, Zona industriala",2 camere  •  70 m²  •  etajul 3  •  2021  •  semidecomandat,68.000 eur
"Brasov, BV, Scriitorilor",3 camere  •  66 m²  •  etajul 4  •  1985  •  decomandat,85.000 eur
"Iasi, IS, Alexandru cel Bun",2 camere  •  50 m²  •  etajul 2  •  1978  •  decomandat,320 eur
"Bucuresti, IF, Berceni",2 camere  •  50 m²  •  etajul 1/4  •  1970  •  semidecomandat,66.000 eur
"Bucuresti, IF, Dorobanti",3 camere  •  68 m²  •  etajul 1/3  •  1970  •  semidecomandat,155.000 eur
"Bucuresti, IF, Lujerului",2 camere  •  54 m²  •  etajul 9/10  •  1979  •  decomandat,85.000 eur
"Iasi, IS, Dacia",3 camere  •  55 m²  •  etajul 4/4  •  1977  •  semidecomandat,60.000 eur
"Bucuresti, IF, Herastrau",2 camere  •  62 m²  •  etajul 2/5  •  2021  •  semidecomandat,207.000 eur
"Brasov, BV, Racadau",2 camere  •  51 m²  •  etajul 3  •  1980  •  decomandat,74.000 eur
"Pantelimon, IF, Central",2 camere  •  62 m²  •  etajul 1  •  2021  •  semidecomandat,70.000 eur
"Bucuresti, IF, Militari",3 camere  •  69 m²  •  etajul 3/3  •  2021  •  decomandat,116.700 eur
"Cluj-Napoca, CJ, Manastur",4 camere  •  62 m²  •  etajul 2/4  •  1974  •  semidecomandat,114.000 eur
"Brasov, BV, Astra",2 camere  •  45 m²  •  etajul 3  •  1980  •  semidecomandat,65.300 eur
"Sibiu, SB, Central",3 camere  •  68 m²  •  etajul 6/10  •  1982  •  decomandat,97.000 eur
"Busteni, PH, Zamora",2 camere  •  59 m²  •  etajul 2  •  2010  •  decomandat,75.000 eur
"Craiova, DJ, Central",2 camere  •  50 m²  •  etajul 4/4  •  1970  •  circular,59.900 eur
"Timisoara, TM, Sagului",3 camere  •  52 m²  •  etajul 4/12+  •  2019  •  semidecomandat,59.990 eur
"Chiajna, IF, Central",2 camere  •  47 m²  •  etajul 8/8  •  2020  •  decomandat,51.062 eur
"Mamaia, CT, Nord",2 camere  •  70 m²  •  etajul 4  •  2021  •  decomandat,90.000 eur
"Iasi, IS, Nicolina",1 cameră  •  24 m²  •  etajul 4  •  1978  •  nedecomandat,28.000 eur
"Floresti, CJ, Central",3 camere  •  95 m²  •  etajul 4/4  •  2013  •  semidecomandat,147.000 eur
"Cluj-Napoca, CJ, Manastur",3 camere  •  110 m²  •  etajul 3/4  •  2007  •  semidecomandat,135.000 eur
"Cluj-Napoca, CJ, Iris",3 camere  •  60 m²  •  etajul 4/4  •  2008  •  semidecomandat,97.900 eur
"Bucuresti, IF, Parcul Carol",3 camere  •  93 m²  •  etajul 2  •  2018  •  decomandat,280.000 eur
"Brasov, BV, Bartolomeu",3 camere  •  68 m²  •  etajul 2  •  1980  •  decomandat,92.000 eur
"Bucuresti, IF, Dorobanti",2 camere  •  75 m²  •  etajul 3/8  •  1976  •  decomandat,138.000 eur
"Floresti, CJ, Central",3 camere  •  62 m²  •  etajul 1/4  •  2009  •  semidecomandat,66.000 eur
"Timisoara, TM, Garii",2 camere  •  69 m²  •  etajul 3/8  •  1979  •  semidecomandat,69.000 eur
"Mamaia Sat, CT, Central",3 camere  •  130 m²  •  etajul 5/5  •  2018  •  decomandat,285.000 eur
"Brasov, BV, Astra",2 camere  •  56 m²  •  etajul 4  •  1982  •  decomandat,74.500 eur
"Targu Mures, MS, Tudor Vladimirescu",4 camere  •  90 m²  •  etajul 3  •  1983  •  decomandat,125.000 eur
"Floresti, CJ, Central",2 camere  •  50 m²  •  etajul 4/4  •  2008  •  semidecomandat,72.500 eur
"Bucuresti, IF, Rahova",4 camere  •  140 m²  •  etajul 1  •  2016  •  decomandat,190.000 eur
"Bucuresti, IF, Ghencea",2 camere  •  70 m²  •  etajul 1  •  2021  •  decomandat,89.490 eur
"Bucuresti, IF, Herastrau",2 camere  •  65 m²  •  etajul 7/9  •  2011  •  semidecomandat,209.000 eur
"Giroc, TM, Central",3 camere  •  100 m²  •  etajul 3/3  •  2021  •  decomandat,95.000 eur
