locatie,detalii,pret
"Braila, BR, Buzaului",3 camere  •  70 m²  •  etajul 3  •  1980  •  decomandat,65.000 eur
"Brasov, BV, Calea Bucuresti",3 camere  •  58 m²  •  etajul 4  •  1980  •  semidecomandat,69.900 eur
"Bucuresti, IF, 13 Septembrie",2 camere  •  58 m²  •  etajul 4/7  •  1987  •  decomandat,114.990 eur
"Bucuresti, IF, Doamna Ghica",3 camere  •  93 m²  •  etajul 7/16  •  2009  •  decomandat,131.000 eur
"Brasov, BV, Vlahuta",2 camere  •  50 m²  •  etajul 1  •  1980  •  semidecomandat,64.000 eur
"Bragadiru, IF, Haliu",2 camere  •  50 m²  •  etajul 2  •  2020  •  decomandat,41.000 eur
"Constanta, CT, Faleza Nord",2 camere  •  50 m²  •  etajul 1/4  •  2010  •  decomandat,133.000 eur
"Eforie Nord, CT, Central",2 camere  •  45 m²  •  etajul 1  •  2000  •  decomandat,68.000 eur
"Arad, AR, Aurel Vlaicu",3 camere  •  70 m²  •  etajul 6  •  1980  •  decomandat,68.500 eur
"Buzau, BZ, Unirii Centru",5 camere  •  120 m²  •  etajul 5  •  1990  •  decomandat,140.900 eur
"Oradea, BH, Central",3 camere  •  69 m²  •  etajul 1/4  •  1990  •  decomandat,78.900 eur
"Sibiu, SB, Mihai Viteazul",4 camere  •  78 m²  •  etajul 7/8  •  1985  •  decomandat,123.000 eur
"Iasi, IS, Pacurari",3 camere  •  70 m²  •  etajul 1/3  •  2016  •  decomandat,100.000 eur
"Bucuresti, IF, Drumul Taberei",3 camere  •  73 m²  •  etajul 9/9  •  1978  •  decomandat,81.990 eur
"Bucuresti, IF, Prelungirea Ghencea",2 camere  •  62 m²  •  etajul 1/5  •  2008  •  decomandat,80.000 eur
"Mamaia, CT, Central",2 camere  •  68 m²  •  etajul 2/5  •  2008  •  semidecomandat,110.000 eur
"Bragadiru, IF, Haliu",2 camere  •  66 m²  •  etajul 1/3  •  2020  •  decomandat,60.000 eur
"Suceava, SV, Universitatii",2 camere  •  29 m²  •  etajul 2  •  1975  •  semidecomandat,30.000 eur
"Cluj-Napoca, CJ, Manastur",2 camere  •  58 m²  •  etajul 5/5  •  2010  •  semidecomandat,55.000 eur
"Constanta, CT, Casa de Cultura",3 camere  •  52 m²  •  etajul 4/5  •  1976  •  decomandat,69.000 eur
"Bragadiru, IF, Central",2 camere  •  45 m²  •  etajul 1/3  •  2021  •  decomandat,44.000 eur
"Chiajna, IF, Central",2 camere  •  55 m²  •  etajul 4/8  •  2020  •  decomandat,58.275 eur
"Constanta, CT, Inel II",3 camere  •  57 m²  •  etajul 4/4  •  1982  •  decomandat,76.900 eur
"Bucuresti, IF, Sud-Est",3 camere  •  70 m²  •  etajul 3/3  •  2016  •  decomandat,105.000 eur
